cidade,uf,cep
'Acrelândia','AC','69945-000'
'Assis Brasil','AC','69935-000'
'Brasiléia','AC','69932-000'
'Bujari','AC','69926-000'
'Capixaba','AC','69931-000'
'Cruzeiro do Sul','AC','69980-000'
'Epitaciolândia','AC','69934-000'
'Feijó','AC','69960-000'
'Jordão','AC','69975-000'
'Mâncio Lima','AC','69990-000'
'Manoel Urbano','AC','69950-000'
'Marechal Thaumaturgo','AC','69983-000'
'Plácido de Castro','AC','69928-000'
'Porto Acre','AC','69927-000'
'Porto Walter','AC','69982-000'
'Rio Branco','AC','120040'
'Rodrigues Alves','AC','69985-000'
'Santa Rosa do Purus','AC','69955-000'
'Sena Madureira','AC','69940-000'
'Senador Guiomard','AC','69925-000'
'Tarauacá','AC','69970-000'
'Xapuri','AC','69930-000'
'Água Branca','AL','57490-000'
'Anadia','AL','57660-000'
'Arapiraca','AL','270030'
'Atalaia','AL','57690-000'
'Barra de Santo Antônio','AL','57925-000'
'Barra de São Miguel','AL','57180-000'
'Batalha','AL','57420-000'
'Belém','AL','57630-000'
'Belo Monte','AL','57435-000'
'Boca da Mata','AL','57680-000'
'Branquinha','AL','57830-000'
'Cacimbinhas','AL','57570-000'
'Cajueiro','AL','57770-000'
'Campestre','AL','57968-000'
'Campo Alegre','AL','57250-000'
'Campo Grande','AL','57350-000'
'Canapi','AL','57530-000'
'Capela','AL','57780-000'
'Carneiros','AL','57535-000'
'Chã Preta','AL','57760-000'
'Coité do Nóia','AL','57325-000'
'Colônia Leopoldina','AL','57975-000'
'Coqueiro Seco','AL','57140-000'
'Coruripe','AL','57230-000'
'Craíbas','AL','57320-000'
'Delmiro Gouveia','AL','57480-000'
'Dois Riachos','AL','57560-000'
'Estrela de Alagoas','AL','57625-000'
'Feira Grande','AL','57340-000'
'Feliz Deserto','AL','57220-000'
'Flexeiras','AL','57995-000'
'Girau do Ponciano','AL','57360-000'
'Ibateguara','AL','57890-000'
'Igaci','AL','57620-000'
'Igreja Nova','AL','57280-000'
'Inhapi','AL','57545-000'
'Jacaré dos Homens','AL','57430-000'
'Jacuípe','AL','57960-000'
'Japaratinga','AL','57950-000'
'Jaramataia','AL','57425-000'
'Joaquim Gomes','AL','57980-000'
'Jundiá','AL','57965-000'
'Junqueiro','AL','57270-000'
'Lagoa da Canoa','AL','57330-000'
'Limoeiro de Anadia','AL','57260-000'
'Maceió','AL','270430'
'Major Isidoro','AL','57580-000'
'Mar Vermelho','AL','57730-000'
'Maragogi','AL','57955-000'
'Maravilha','AL','57520-000'
'Marechal Deodoro','AL','57160-000'
'Maribondo','AL','57670-000'
'Mata Grande','AL','57540-000'
'Matriz de Camaragibe','AL','57910-000'
'Messias','AL','57990-000'
'Minador do Negrão','AL','57615-000'
'Monteirópolis','AL','57440-000'
'Murici','AL','57820-000'
'Novo Lino','AL','57970-000'
'Olho D\'Água Grande','AL','57390-000'
'Olho D\'Água das Flores','AL','57442-000'
'Olho D\'Água do Casado','AL','57470-000'
'Olivença','AL','57550-000'
'Ouro Branco','AL','57525-000'
'Palestina','AL','57410-000'
'Palmeira dos Índios','AL','270630'
'Pão de Açúcar','AL','57400-000'
'Pariconha','AL','57475-000'
'Paripueira','AL','57935-000'
'Passo de Camaragibe','AL','57930-000'
'Paulo Jacinto','AL','57740-000'
'Penedo','AL','57200-000'
'Piaçabuçu','AL','57210-000'
'Pilar','AL','57150-000'
'Pindoba','AL','57720-000'
'Piranhas','AL','57460-000'
'Poço das Trincheiras','AL','57510-000'
'Porto Calvo','AL','57900-000'
'Porto de Pedras','AL','57945-000'
'Porto Real do Colégio','AL','57290-000'
'Quebrangulo','AL','57750-000'
'Rio Largo','AL','57100-000'
'Roteiro','AL','57246-000'
'Santa Luzia do Norte','AL','57130-000'
'Santana do Ipanema','AL','57500-000'
'Santana do Mundaú','AL','57840-000'
'São Brás','AL','57380-000'
'São José da Laje','AL','57860-000'
'São José da Tapera','AL','57445-000'
'São Luís do Quitunde','AL','57920-000'
'São Miguel dos Campos','AL','57240-000'
'São Miguel dos Milagres','AL','57940-000'
'São Sebastião','AL','57275-000'
'Satuba','AL','57120-000'
'Senador Rui Palmeira','AL','57515-000'
'Tanque D\'Arca','AL','57635-000'
'Taquarana','AL','57640-000'
'Teotônio Vilela','AL','57265-000'
'Traipu','AL','57370-000'
'União dos Palmares','AL','57800-000'
'Viçosa','AL','57700-000'
'Alvarães','AM','69475-000'
'Amaturá','AM','69620-000'
'Anamã','AM','69445-000'
'Anori','AM','69440-000'
'Apuí','AM','69265-000'
'Atalaia do Norte','AM','69650-000'
'Autazes','AM','69240-000'
'Barcelos','AM','69700-000'
'Barreirinha','AM','69160-000'
'Benjamin Constant','AM','69630-000'
'Beruri','AM','69430-000'
'Boa Vista do Ramos','AM','69195-000'
'Boca do Acre','AM','69850-000'
'Borba','AM','69200-000'
'Caapiranga','AM','69425-000'
'Canutama','AM','69820-000'
'Carauari','AM','69500-000'
'Careiro','AM','69250-000'
'Careiro da Várzea','AM','69255-000'
'Coari','AM','69460-000'
'Codajás','AM','69450-000'
'Eirunepé','AM','69880-000'
'Envira','AM','69870-000'
'Fonte Boa','AM','69670-000'
'Guajará','AM','69895-000'
'Humaitá','AM','69800-000'
'Ipixuna','AM','69890-000'
'Iranduba','AM','69415-000'
'Itacoatiara','AM','130190'
'Itamarati','AM','69510-000'
'Itapiranga','AM','69120-000'
'Japurá','AM','69495-000'
'Juruá','AM','69520-000'
'Jutaí','AM','69660-000'
'Lábrea','AM','69830-000'
'Manacapuru','AM','69400-000'
'Manaquiri','AM','69435-000'
'Manaus','AM','130260'
'Manicoré','AM','69280-000'
'Maraã','AM','69490-000'
'Maués','AM','69190-000'
'Nhamundá','AM','69140-000'
'Nova Olinda do Norte','AM','69230-000'
'Novo Airão','AM','69730-000'
'Novo Aripuanã','AM','69260-000'
'Parintins','AM','130340'
'Pauini','AM','69860-000'
'Presidente Figueiredo','AM','69735-000'
'Rio Preto da Eva','AM','69117-000'
'Santa Isabel do Rio Negro','AM','69740-000'
'Santo Antônio do Içá','AM','69680-000'
'São Gabriel da Cachoeira','AM','69750-000'
'São Paulo de Olivença','AM','69600-000'
'São Sebastião do Uatumã','AM','69135-000'
'Silves','AM','69114-000'
'Tabatinga','AM','69640-000'
'Tapauá','AM','69480-000'
'Tefé','AM','69470-000'
'Tonantins','AM','69685-000'
'Uarini','AM','69485-000'
'Urucará','AM','69130-000'
'Urucurituba','AM','69180-000'
'Amapá','AP','68950-000'
'Amapari','AP','68945-000'
'Calçoene','AP','68960-000'
'Cutias','AP','68973-000'
'Ferreira Gomes','AP','68915-000'
'Itaubal','AP','68976-000'
'Laranjal do Jari','AP','68920-000'
'Macapá','AP','160030'
'Mazagão','AP','68940-000'
'Oiapoque','AP','68980-000'
'Porto Grande','AP','68997-000'
'Pracuúba','AP','68918-000'
'Santana','AP','68925-000'
'Tartarugalzinho','AP','68990-000'
'Vitória do Jari','AP','68924-000'
'Abaíra','BA','46690-000'
'Abaré','BA','48680-000'
'Acajutiba','BA','48360-000'
'Adustina','BA','48435-000'
'Água Fria','BA','48170-000'
'Aiquara','BA','45220-000'
'Alagoinhas','BA','290070'
'Alcobaça','BA','45990-000'
'Almadina','BA','45640-000'
'Amargosa','BA','45300-000'
'Amélia Rodrigues','BA','44230-000'
'América Dourada','BA','44910-000'
'Anagé','BA','45180-000'
'Andaraí','BA','46830-000'
'Andorinha','BA','48990-000'
'Angical','BA','47960-000'
'Anguera','BA','44670-000'
'Antas','BA','48420-000'
'Antônio Cardoso','BA','44180-000'
'Antônio Gonçalves','BA','44780-000'
'Aporá','BA','48350-000'
'Apuarema','BA','45355-000'
'Araçás','BA','48108-000'
'Aracatu','BA','46130-000'
'Araci','BA','48760-000'
'Aramari','BA','48130-000'
'Arataca','BA','45695-000'
'Aratuípe','BA','44490-000'
'Aurelino Leal','BA','45675-000'
'Baianópolis','BA','47830-000'
'Baixa Grande','BA','44620-000'
'Banzaê','BA','48405-000'
'Barra','BA','47100-000'
'Barra da Estiva','BA','46650-000'
'Barra do Choça','BA','45120-000'
'Barra do Mendes','BA','44990-000'
'Barra do Rocha','BA','45560-000'
'Barreiras','BA','290320'
'Barro Alto','BA','44895-000'
'Barro Preto','BA','45625-000'
'Barrocas','BA','48705-000'
'Belmonte','BA','45800-000'
'Belo Campo','BA','45160-000'
'Biritinga','BA','48780-000'
'Boa Nova','BA','45250-000'
'Boa Vista do Tupim','BA','46850-000'
'Bom Jesus da Lapa','BA','47600-000'
'Bom Jesus da Serra','BA','45263-000'
'Boninal','BA','46740-000'
'Bonito','BA','46820-000'
'Boquira','BA','46530-000'
'Botuporã','BA','46570-000'
'Brejões','BA','45325-000'
'Brejolândia','BA','47750-000'
'Brotas de Macaúbas','BA','47560-000'
'Brumado','BA','46100-000'
'Buerarema','BA','45615-000'
'Buritirama','BA','47120-000'
'Caatiba','BA','45130-000'
'Cabaceiras do Paraguaçu','BA','44345-000'
'Cachoeira','BA','44300-000'
'Caculé','BA','46300-000'
'Caém','BA','44730-000'
'Caetanos','BA','45265-000'
'Caetité','BA','46400-000'
'Cafarnaum','BA','44880-000'
'Cairu','BA','45420-000'
'Caldeirão Grande','BA','44750-000'
'Camacan','BA','45880-000'
'Camaçari','BA','290570'
'Camamu','BA','45445-000'
'Campo Alegre de Lourdes','BA','47220-000'
'Campo Formoso','BA','44790-000'
'Canápolis','BA','47730-000'
'Canarana','BA','44890-000'
'Canavieiras','BA','45860-000'
'Candeal','BA','48710-000'
'Candeias','BA','290650'
'Candiba','BA','46380-000'
'Cândido Sales','BA','45157-000'
'Cansanção','BA','48840-000'
'Canudos','BA','48520-000'
'Capela do Alto Alegre','BA','44645-000'
'Capim Grosso','BA','44695-000'
'Caraíbas','BA','45177-000'
'Caravelas','BA','45900-000'
'Cardeal da Silva','BA','48390-000'
'Carinhanha','BA','46445-000'
'Casa Nova','BA','47300-000'
'Castro Alves','BA','44500-000'
'Catolândia','BA','47815-000'
'Catu','BA','48110-000'
'Caturama','BA','46575-000'
'Central','BA','44940-000'
'Chorrochó','BA','48660-000'
'Cícero Dantas','BA','48410-000'
'Cipó','BA','48450-000'
'Coaraci','BA','45638-000'
'Cocos','BA','47680-000'
'Conceição da Feira','BA','44320-000'
'Conceição do Almeida','BA','44540-000'
'Conceição do Coité','BA','48730-000'
'Conceição do Jacuípe','BA','44245-000'
'Conde','BA','48300-000'
'Condeúba','BA','46200-000'
'Contendas do Sincorá','BA','46620-000'
'Coração de Maria','BA','44250-000'
'Cordeiros','BA','46280-000'
'Coribe','BA','47690-000'
'Coronel João Sá','BA','48590-000'
'Correntina','BA','47650-000'
'Cotegipe','BA','47900-000'
'Cravolândia','BA','45330-000'
'Crisópolis','BA','48480-000'
'Cristópolis','BA','47950-000'
'Cruz das Almas','BA','44380-000'
'Curaçá','BA','48930-000'
'Dário Meira','BA','45590-000'
'Dias D\'Ávila','BA','42850-000'
'Dom Basílio','BA','46165-000'
'Dom Macedo Costa','BA','44560-000'
'Elísio Medrado','BA','45305-000'
'Encruzilhada','BA','45150-000'
'Entre Rios','BA','48180-000'
'Érico Cardoso','BA','46180-000'
'Esplanada','BA','48370-000'
'Euclides da Cunha','BA','48500-000'
'Eunápolis','BA','291072'
'Fátima','BA','48415-000'
'Feira da Mata','BA','46446-000'
'Feira de Santana','BA','291080'
'Filadélfia','BA','44775-000'
'Firmino Alves','BA','45720-000'
'Floresta Azul','BA','45740-000'
'Formosa do Rio Preto','BA','47990-000'
'Gandu','BA','45450-000'
'Gavião','BA','44650-000'
'Gentio do Ouro','BA','47450-000'
'Glória','BA','48620-000'
'Gongogi','BA','45540-000'
'Governador Mangabeira','BA','44350-000'
'Guajeru','BA','46205-000'
'Guanambi','BA','46430-000'
'Guaratinga','BA','45840-000'
'Heliópolis','BA','48445-000'
'Iaçu','BA','46860-000'
'Ibiassucê','BA','46390-000'
'Ibicaraí','BA','45745-000'
'Ibicoara','BA','46760-000'
'Ibicuí','BA','45290-000'
'Ibipeba','BA','44970-000'
'Ibipitanga','BA','46540-000'
'Ibiquera','BA','46840-000'
'Ibirapitanga','BA','45500-000'
'Ibirapuã','BA','45940-000'
'Ibirataia','BA','45580-000'
'Ibitiara','BA','46700-000'
'Ibititá','BA','44960-000'
'Ibotirama','BA','47520-000'
'Ichu','BA','48725-000'
'Igaporã','BA','46490-000'
'Igrapiúna','BA','45443-000'
'Iguaí','BA','45280-000'
'Ilhéus','BA','291360'
'Inhambupe','BA','48490-000'
'Ipecaetá','BA','44680-000'
'Ipiaú','BA','45570-000'
'Ipirá','BA','44600-000'
'Ipupiara','BA','47590-000'
'Irajuba','BA','45370-000'
'Iramaia','BA','46770-000'
'Iraquara','BA','46980-000'
'Irará','BA','44255-000'
'Irecê','BA','44900-000'
'Itabela','BA','45848-000'
'Itaberaba','BA','46880-000'
'Itabuna','BA','291480'
'Itacaré','BA','45530-000'
'Itaeté','BA','46790-000'
'Itagi','BA','45230-000'
'Itagibá','BA','45585-000'
'Itagimirim','BA','45850-000'
'Itaguaçu da Bahia','BA','47440-000'
'Itaju do Colônia','BA','45730-000'
'Itajuípe','BA','45630-000'
'Itamaraju','BA','45836-000'
'Itamari','BA','45455-000'
'Itambé','BA','45140-000'
'Itanagra','BA','48290-000'
'Itanhém','BA','45970-000'
'Itaparica','BA','44460-000'
'Itapé','BA','45750-000'
'Itapebi','BA','45855-000'
'Itapetinga','BA','45700-000'
'Itapicuru','BA','48475-000'
'Itapitanga','BA','45645-000'
'Itaquara','BA','45340-000'
'Itarantim','BA','45780-000'
'Itatim','BA','46875-000'
'Itiruçu','BA','45350-000'
'Itiúba','BA','48850-000'
'Itororó','BA','45710-000'
'Ituaçu','BA','46640-000'
'Ituberá','BA','45435-000'
'Iuiu','BA','46438-000'
'Jaborandi','BA','47655-000'
'Jacaraci','BA','46310-000'
'Jacobina','BA','44700-000'
'Jaguaquara','BA','45345-000'
'Jaguarari','BA','48960-000'
'Jaguaripe','BA','44480-000'
'Jandaíra','BA','48310-000'
'Jequié','BA','291800'
'Jequiriçá','BA','45470-000'
'Jeremoabo','BA','48540-000'
'Jitaúna','BA','45225-000'
'João Dourado','BA','44920-000'
'Juazeiro','BA','291840'
'Jucuruçu','BA','45834-000'
'Jussara','BA','44925-000'
'Jussari','BA','45610-000'
'Jussiape','BA','46670-000'
'Lafaiete Coutinho','BA','45215-000'
'Lagoa Real','BA','46425-000'
'Laje','BA','45490-000'
'Lajedão','BA','45950-000'
'Lajedinho','BA','46825-000'
'Lajedo do Tabocal','BA','45365-000'
'Lamarão','BA','48720-000'
'Lapão','BA','44905-000'
'Lauro de Freitas','BA','42700-000'
'Lençóis','BA','46960-000'
'Licínio de Almeida','BA','46330-000'
'Livramento de Nossa Senhora','BA','46140-000'
'Macajuba','BA','46805-000'
'Macarani','BA','45760-000'
'Macaúbas','BA','46500-000'
'Macururé','BA','48650-000'
'Madre de Deus','BA','42600-000'
'Maetinga','BA','46255-000'
'Maiquinique','BA','45770-000'
'Mairi','BA','44630-000'
'Malhada','BA','46440-000'
'Malhada de Pedras','BA','46110-000'
'Manoel Vitorino','BA','45240-000'
'Mansidão','BA','47160-000'
'Maracás','BA','45360-000'
'Maragogipe','BA','44420-000'
'Maraú','BA','45520-000'
'Marcionílio Souza','BA','46780-000'
'Mascote','BA','45870-000'
'Mata de São João','BA','48280-000'
'Matina','BA','46480-000'
'Medeiros Neto','BA','45960-000'
'Miguel Calmon','BA','44720-000'
'Milagres','BA','45315-000'
'Luís Eduardo Magalhães','BA','47850-000'
'Mirangaba','BA','44745-000'
'Mirante','BA','45255-000'
'Monte Santo','BA','48800-000'
'Morpará','BA','47580-000'
'Morro do Chapéu','BA','44850-000'
'Mortugaba','BA','46290-000'
'Mucugê','BA','46750-000'
'Mucuri','BA','45930-000'
'Mulungu do Morro','BA','44885-000'
'Mundo Novo','BA','44800-000'
'Muniz Ferreira','BA','44575-000'
'Muquém de São Francisco','BA','47115-000'
'Muritiba','BA','44340-000'
'Mutuípe','BA','45480-000'
'Nazaré','BA','44400-000'
'Nilo Peçanha','BA','45440-000'
'Nordestina','BA','48870-000'
'Nova Canaã','BA','45270-000'
'Nova Fátima','BA','44642-000'
'Nova Ibiá','BA','45452-000'
'Nova Itarana','BA','45390-000'
'Nova Redenção','BA','46835-000'
'Nova Soure','BA','48460-000'
'Nova Viçosa','BA','45920-000'
'Novo Horizonte','BA','46730-000'
'Novo Triunfo','BA','48455-000'
'Olindina','BA','48470-000'
'Oliveira dos Brejinhos','BA','47530-000'
'Ouriçangas','BA','48150-000'
'Ourolândia','BA','44718-000'
'Palmas de Monte Alto','BA','46460-000'
'Palmeiras','BA','46930-000'
'Paramirim','BA','46190-000'
'Paratinga','BA','47500-000'
'Paripiranga','BA','48430-000'
'Pau Brasil','BA','45890-000'
'Paulo Afonso','BA','292400'
'Pé de Serra','BA','44655-000'
'Pedrão','BA','48140-000'
'Pedro Alexandre','BA','48580-000'
'Piatã','BA','46765-000'
'Pilão Arcado','BA','47240-000'
'Pindaí','BA','46360-000'
'Pindobaçu','BA','44770-000'
'Pintadas','BA','44610-000'
'Piraí do Norte','BA','45436-000'
'Piripá','BA','46270-000'
'Piritiba','BA','44830-000'
'Planaltino','BA','45375-000'
'Planalto','BA','45190-000'
'Poções','BA','45260-000'
'Pojuca','BA','48120-000'
'Ponto Novo','BA','44755-000'
'Porto Seguro','BA','45810-000'
'Potiraguá','BA','45790-000'
'Prado','BA','45980-000'
'Presidente Dutra','BA','44930-000'
'Presidente Jânio Quadros','BA','46250-000'
'Presidente Tancredo Neves','BA','45416-000'
'Queimadas','BA','48860-000'
'Quijingue','BA','48830-000'
'Quixabeira','BA','44713-000'
'Rafael Jambeiro','BA','44520-000'
'Remanso','BA','47200-000'
'Retirolândia','BA','48750-000'
'Riachão das Neves','BA','47970-000'
'Riachão do Jacuípe','BA','44640-000'
'Riacho de Santana','BA','46470-000'
'Ribeira do Amparo','BA','48440-000'
'Ribeira do Pombal','BA','48400-000'
'Ribeirão do Largo','BA','45155-000'
'Rio de Contas','BA','46170-000'
'Rio do Antônio','BA','46220-000'
'Rio do Pires','BA','46550-000'
'Rio Real','BA','48330-000'
'Rodelas','BA','48630-000'
'Ruy Barbosa','BA','46800-000'
'Salinas da Margarida','BA','44450-000'
'Salvador','BA','292740'
'Santa Bárbara','BA','44150-000'
'Santa Brígida','BA','48570-000'
'Santa Cruz Cabrália','BA','45807-000'
'Santa Cruz da Vitória','BA','45725-000'
'Santa Inês','BA','45320-000'
'Santa Luzia','BA','45865-000'
'Santa Maria da Vitória','BA','47640-000'
'Santa Rita de Cássia','BA','47150-000'
'Santa Terezinha','BA','44590-000'
'Santaluz','BA','48880-000'
'Santana','BA','47700-000'
'Santanópolis','BA','44260-000'
'Santo Amaro','BA','44200-000'
'Santo Antônio de Jesus','BA','292870'
'Santo Estevão','BA','44190-000'
'São Desidério','BA','47820-000'
'São Domingos','BA','48895-000'
'São Felipe','BA','44550-000'
'São Félix','BA','44360-000'
'São Félix do Coribe','BA','47665-000'
'São Francisco do Conde','BA','43900-000'
'São Gabriel','BA','44915-000'
'São Gonçalo dos Campos','BA','44330-000'
'São José da Vitória','BA','45620-000'
'São José do Jacuípe','BA','44698-000'
'São Miguel das Matas','BA','44580-000'
'São Sebastião do Passe','BA','43850-000'
'Sapeaçu','BA','44530-000'
'Sátiro Dias','BA','48485-000'
'Saubara','BA','44220-000'
'Saúde','BA','44740-000'
'Seabra','BA','46900-000'
'Sebastião Laranjeiras','BA','46450-000'
'Senhor do Bonfim','BA','48970-000'
'Sento Sé','BA','47350-000'
'Serra do Ramalho','BA','47630-000'
'Serra Dourada','BA','47740-000'
'Serra Preta','BA','44660-000'
'Serrinha','BA','48700-000'
'Serrolândia','BA','44710-000'
'Simões Filho','BA','43700-000'
'Sítio do Mato','BA','47610-000'
'Sítio do Quinto','BA','48565-000'
'Sobradinho','BA','48925-000'
'Souto Soares','BA','46990-000'
'Tabocas do Brejo Velho','BA','47760-000'
'Tanhaçu','BA','46600-000'
'Tanque Novo','BA','46580-000'
'Tanquinho','BA','44160-000'
'Taperoá','BA','45430-000'
'Tapiramutá','BA','44840-000'
'Teixeira de Freitas','BA','293135'
'Teodoro Sampaio','BA','44280-000'
'Teofilândia','BA','48770-000'
'Teolândia','BA','45465-000'
'Terra Nova','BA','44270-000'
'Tremedal','BA','45170-000'
'Tucano','BA','48790-000'
'Uauá','BA','48950-000'
'Ubaíra','BA','45310-000'
'Ubaitaba','BA','45545-000'
'Ubatã','BA','45550-000'
'Uibaí','BA','44950-000'
'Umburanas','BA','44798-000'
'Una','BA','45690-000'
'Urandi','BA','46350-000'
'Uruçuca','BA','45680-000'
'Utinga','BA','46810-000'
'Valença','BA','45400-000'
'Valente','BA','48890-000'
'Várzea da Roça','BA','44635-000'
'Várzea do Poço','BA','44715-000'
'Várzea Nova','BA','44690-000'
'Varzedo','BA','44565-000'
'Vera Cruz','BA','44470-000'
'Vereda','BA','45955-000'
'Vitória da Conquista','BA','293330'
'Wagner','BA','46970-000'
'Wanderley','BA','47940-000'
'Wenceslau Guimarães','BA','45460-000'
'Abaiara','CE','63240-000'
'Acarape','CE','62785-000'
'Acaraú','CE','62580-000'
'Acopiara','CE','63560-000'
'Aiuaba','CE','63575-000'
'Alcântaras','CE','62120-000'
'Altaneira','CE','63195-000'
'Alto Santo','CE','62970-000'
'Amontada','CE','62540-000'
'Antonina do Norte','CE','63570-000'
'Apuiarés','CE','62630-000'
'Aquiraz','CE','61700-000'
'Aracati','CE','62800-000'
'Aracoiaba','CE','62750-000'
'Ararendá','CE','62210-000'
'Araripe','CE','63170-000'
'Aratuba','CE','62762-000'
'Arneiroz','CE','63670-000'
'Assaré','CE','63140-000'
'Aurora','CE','63360-000'
'Baixio','CE','63320-000'
'Banabuiú','CE','63960-000'
'Barbalha','CE','63180-000'
'Barreira','CE','62795-000'
'Barro','CE','63380-000'
'Barroquinha','CE','62410-000'
'Baturité','CE','62760-000'
'Beberibe','CE','62840-000'
'Bela Cruz','CE','62570-000'
'Boa Viagem','CE','63870-000'
'Brejo Santo','CE','63260-000'
'Camocim','CE','62400-000'
'Campos Sales','CE','63150-000'
'Canindé','CE','62700-000'
'Capistrano','CE','62748-000'
'Caridade','CE','62730-000'
'Cariré','CE','62184-000'
'Caririaçu','CE','63220-000'
'Cariús','CE','63530-000'
'Carnaubal','CE','62375-000'
'Cascavel','CE','62850-000'
'Catarina','CE','63595-000'
'Catunda','CE','62297-000'
'Caucaia','CE','230370'
'Cedro','CE','63400-000'
'Chaval','CE','62420-000'
'Choró','CE','63950-000'
'Chorozinho','CE','62875-000'
'Coreaú','CE','62160-000'
'Crateús','CE','63700-000'
'Crato','CE','230420'
'Croatá','CE','62390-000'
'Cruz','CE','62595-000'
'Deputado Irapuan Pinheiro','CE','63645-000'
'Ererê','CE','63470-000'
'Eusébio','CE','61760-000'
'Farias Brito','CE','63185-000'
'Forquilha','CE','62115-000'
'Fortaleza','CE','230440'
'Fortim','CE','62815-000'
'Frecheirinha','CE','62340-000'
'General Sampaio','CE','62738-000'
'Graça','CE','62365-000'
'Granja','CE','62430-000'
'Granjeiro','CE','63230-000'
'Groairas','CE','62190-000'
'Guaiúba','CE','61890-000'
'Guaraciaba do Norte','CE','62380-000'
'Guaramiranga','CE','62766-000'
'Hidrolândia','CE','62270-000'
'Horizonte','CE','62880-000'
'Ibaretama','CE','63970-000'
'Ibiapina','CE','62360-000'
'Ibicuitinga','CE','62955-000'
'Icapuí','CE','62810-000'
'Icó','CE','63430-000'
'Iguatu','CE','63500-000'
'Independência','CE','63640-000'
'Ipaporanga','CE','62215-000'
'Ipaumirim','CE','63340-000'
'Ipu','CE','62250-000'
'Ipueiras','CE','62230-000'
'Iracema','CE','62980-000'
'Irauçuba','CE','62620-000'
'Itaiçaba','CE','62820-000'
'Itaitinga','CE','61880-000'
'Itapajé','CE','62600-000'
'Itapipoca','CE','62500-000'
'Itapiúna','CE','62740-000'
'Itarema','CE','62590-000'
'Itatira','CE','62720-000'
'Jaguaretama','CE','63480-000'
'Jaguaribara','CE','63490-000'
'Jaguaribe','CE','63475-000'
'Jaguaruana','CE','62823-000'
'Jardim','CE','63290-000'
'Jati','CE','63275-000'
'Jijoca de Jericoacoara','CE','62598-000'
'Juazeiro do Norte','CE','230730'
'Jucás','CE','63580-000'
'Lavras da Mangabeira','CE','63300-000'
'Limoeiro do Norte','CE','62930-000'
'Madalena','CE','63860-000'
'Maracanaú','CE','230765'
'Maranguape','CE','230770'
'Marco','CE','62560-000'
'Martinópole','CE','62450-000'
'Massapê','CE','62140-000'
'Mauriti','CE','63210-000'
'Meruoca','CE','62130-000'
'Milagres','CE','63250-000'
'Milhã','CE','63635-000'
'Miraíma','CE','62530-000'
'Missão Velha','CE','63200-000'
'Mombaça','CE','63610-000'
'Monsenhor Tabosa','CE','63780-000'
'Morada Nova','CE','62940-000'
'Moraújo','CE','62480-000'
'Morrinhos','CE','62550-000'
'Mucambo','CE','62170-000'
'Mulungu','CE','62764-000'
'Nova Olinda','CE','63165-000'
'Nova Russas','CE','62200-000'
'Novo Oriente','CE','63740-000'
'Ocara','CE','62755-000'
'Orós','CE','63520-000'
'Pacajus','CE','62870-000'
'Pacatuba','CE','61800-000'
'Pacoti','CE','62770-000'
'Pacujá','CE','62180-000'
'Palhano','CE','62910-000'
'Palmácia','CE','62780-000'
'Paracuru','CE','62680-000'
'Paraipaba','CE','62685-000'
'Parambu','CE','63680-000'
'Paramoti','CE','62736-000'
'Pedra Branca','CE','63630-000'
'Penaforte','CE','63280-000'
'Pentecoste','CE','62640-000'
'Pereiro','CE','63460-000'
'Pindoretama','CE','62860-000'
'Piquet Carneiro','CE','63605-000'
'Pires Ferreira','CE','62255-000'
'Poranga','CE','62220-000'
'Porteiras','CE','63270-000'
'Potengi','CE','63160-000'
'Potiretama','CE','62990-000'
'Quiterianópolis','CE','63650-000'
'Quixadá','CE','63900-000'
'Quixelô','CE','63515-000'
'Quixeramobim','CE','63800-000'
'Quixeré','CE','62920-000'
'Redenção','CE','62790-000'
'Reriutaba','CE','62260-000'
'Russas','CE','62900-000'
'Saboeiro','CE','63590-000'
'Salitre','CE','63155-000'
'Santa Quitéria','CE','62280-000'
'Santana do Acaraú','CE','62150-000'
'Santana do Cariri','CE','63190-000'
'São Benedito','CE','62370-000'
'São Gonçalo do Amarante','CE','62670-000'
'São João do Jaguaribe','CE','62965-000'
'São Luís do Curu','CE','62665-000'
'Senador Pompeu','CE','63600-000'
'Senador Sá','CE','62470-000'
'Sobral','CE','231290'
'Solonópole','CE','63620-000'
'Tabuleiro do Norte','CE','62960-000'
'Tamboril','CE','63750-000'
'Tarrafas','CE','63145-000'
'Tauá','CE','63660-000'
'Tejuçuoca','CE','62610-000'
'Tianguá','CE','62320-000'
'Trairi','CE','62690-000'
'Tururu','CE','62655-000'
'Ubajara','CE','62350-000'
'Umari','CE','63310-000'
'Umirim','CE','62660-000'
'Uruburetama','CE','62650-000'
'Uruoca','CE','62460-000'
'Varjota','CE','62265-000'
'Várzea Alegre','CE','63540-000'
'Viçosa do Ceará','CE','62300-000'
'Brasília','DF','530010'
'Afonso Cláudio','ES','29600-000'
'Água Doce do Norte','ES','29820-000'
'Águia Branca','ES','29795-000'
'Alegre','ES','29500-000'
'Alfredo Chaves','ES','29240-000'
'Alto Rio Novo','ES','29760-000'
'Anchieta','ES','29230-000'
'Apiacá','ES','29450-000'
'Aracruz','ES','320060'
'Atílio Vivácqua','ES','29490-000'
'Baixo Guandu','ES','29730-000'
'Barra de São Francisco','ES','29800-000'
'Boa Esperança','ES','29845-000'
'Bom Jesus do Norte','ES','29460-000'
